id,title,score,stars,content
3395373,蝙蝠侠：黑暗骑士崛起,3,1497,失望到爆！反派为什么反的设定，最后反转的设定，最后拯救的设定，都是那么的普通乃至无趣，甚至连打斗都毫无新意，那些反派配角就是一个个等着轮流给蝙蝠侠打。诺兰导演水准没差，只是这次的编剧编得真的弱到爆炸!
3395373,蝙蝠侠：黑暗骑士崛起,5,6970,Anne Hathaway美得足以把全世界的基佬都掰直，但刚被掰直的基佬们马上又会被囧瑟夫萌弯。
3395373,蝙蝠侠：黑暗骑士崛起,5,3531,"三部曲，都是关于一次又一次的选择。庞大的人物线索和故事，诺兰已经构造出自己的世界观——我觉得，他是相信黑暗的。Gotham doesn't deserve a hero like this, but he'll still give everything to them. 另，小丑有且只有一个。（用打一星来表达对脑残粉的蔑视的人可以省省了，你们配吗？"
3395373,蝙蝠侠：黑暗骑士崛起,4,5608,孤立地看，这是一部无可争议的五星电影；但和第二部《黑暗骑士》比起来，它只能拿四颗星。
3395373,蝙蝠侠：黑暗骑士崛起,4,1309,难道我是第一个看的吗？墨尔本crown village cinema， 所有人都鼓掌了，绝对是今年最伟大的电影！
3395373,蝙蝠侠：黑暗骑士崛起,4,988,拍出了黑暗英雄的铁血丹心，但没能超越《黑暗骑士》。配乐超赞！
3395373,蝙蝠侠：黑暗骑士崛起,5,2471,"超过TDK不敢说,但永垂影史是扛扛的."
3395373,蝙蝠侠：黑暗骑士崛起,5,2543,疯，诺兰究竟把蝙蝠侠系列拍到了怎样一个高度啊，弥漫始终的黑暗感几乎将人吞没，我甚至觉得其它英雄电影可以不要再拍下去了，复仇者联盟二剧组也赶紧解散吧，即使你搞来一万个超级英雄乱斗，也不比高谭市大楼顶上熊熊燃烧着的巨型蝙蝠那般凄美孤傲。四年的等待值了。
3395373,蝙蝠侠：黑暗骑士崛起,5,1687,英雄挥别，正气永存；史诗落幕，传奇不朽。漫长黑暗过后，终迎黎明曙光。
3395373,蝙蝠侠：黑暗骑士崛起,4,535,解释了英雄以及英雄精神，蝙蝠侠终于找到了他的答案，无论是伤感或是其他情绪，这个黑暗系列终于结束了。汉斯·季默的配乐很棒，激昂或忧伤，很好的推动了情绪，很大一段时间都是被配乐震得热血沸腾的。合格的大片，场面、气势以及紧张感都有。最喜欢的还是猫女，Bane的发挥空间太有限了。三星半
3395373,蝙蝠侠：黑暗骑士崛起,2,742,整个蝙蝠侠系列所讲的故事一言以蔽之不过就是：高帅富会武术，谁也挡不住！这部自然也不例外。与前两部相比只是变得更加冗长乏味而已，整体乏善可陈。全片无高潮，能淡出个鸟来。真有点替那些枪击案的死难者感到不值，为了看这么个鸟片而断送了自己的性命，真是死不瞑目。
3395373,蝙蝠侠：黑暗骑士崛起,4,502,所以那场床戏的作用就是为了证明蝙蝠侠这十几年还是有性生活的……
3395373,蝙蝠侠：黑暗骑士崛起,4,280,四星半。鸡蛋里挑骨头：配角形象不够丰满，转折欠缺说服力，三个月的时间没有拍出维度，感情戏有点进展太快，井底戏有点抽象。虽不是诺兰最好的电影，但比起其他电影仍甩N条街。英雄故事结尾虽然有点老套，可当尘埃落定之后，所有人缅怀过去、继续生活时，仍落下泪来：传说终会终结，英雄永远不死。
3395373,蝙蝠侠：黑暗骑士崛起,[NULL],1119,这部应该叫罗宾成长日记，主演是囧瑟夫
3395373,蝙蝠侠：黑暗骑士崛起,5,848,雙手合十，十指緊扣，我和一場的毒撚淚流滿面，如此蒼白的心，既視之溫柔，只有真心愛過的人，會照單全收，It really doesn't matter，燃燒有時，道成灰燼也有時，在話語把我們逮住之前，我知道我已轟轟烈烈的，真心愛過。★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
3395373,蝙蝠侠：黑暗骑士崛起,5,907,"贝恩真的太可怜了。。。。知道真相的瞬间我原谅了他做的所有坏事！老湿的眼睛真的会演戏！不戴面具的一秒镜头好帅 好虐 好凄美 好想哭！本以为这次我会改邪归正彻底爱上大蝙蝠，搞了半天我还是个悲催的反派控 。。。Goodbye, My Friend. 此去便是永别。（轻微吐槽：马良挂掉的那一下有点囧）"
